	mean	std	min	25%	50%	75%	max	dif_max_abs	digit_dif_max_abs	gauge_name	gauge_lat	gauge_lon	area_ana	area_gsim	area_gsim_quality	p_mean	pet_mean	et_mean	aridity	p_seasonality	asynchronicity	frac_snow	high_prec_freq	high_prec_dur	high_prec_timing	low_prec_freq	low_prec_dur	low_prec_timing	q_mean	runoff_ratio	stream_elas	slope_fdc	baseflow_index	hfd_mean	Q5	Q95	high_q_freq	high_q_dur	low_q_freq	low_q_dur	zero_q_freq	elev_gauge	elev_mean	slope_mean	area	crop_perc	crop_mosaic_perc	forest_perc	shrub_perc	grass_perc	barren_perc	imperv_perc	wet_perc	snow_perc	dom_land_cover	dom_land_cover_perc	geol_class_1st	geol_class_1st_perc	geol_class_2nd	geol_class_2nd_perc	carb_rocks_perc	geol_porosity	geol_permeability	sand_perc	silt_perc	clay_perc	org_carbon_content	bedrock_depth	water_table_depth	q_quality_control_perc	q_stream_stage_perc	consumptive_use	consumptive_use_perc	reservoirs_vol	regulation_degree
57400000	-4.826720725965233e-06	0.042063783553431225	-0.0587354351313234	-0.042120798586524	0.0198473024632182	0.0239560787689524	0.0676059730588685	0.0676059730588685	1.0	itaici	-20.5283	-41.5114	1010.0	1034.159	high	3.69562	2.74396	2.66631	0.74249	0.97649	0.0	0.0	24.0	1.32231	djf	257.9	5.33402	jja	1.59025	0.43031	1.42556	1.75726	0.71163	152.15	0.4929	4.2853	1.3	1.36842	0.25	5.0	0.0	349.0	842.0228	104.5842	1034.159	14.6167	37.9758	43.1956	4.2119	0.0	0.0	0.0	0.0	0.0	forest	43.1956	metamorphics	65.47	acid_plutonic_rocks	34.53	0.0	0.01	-13.4619	42.3005	15.678	41.9711	15.2368	1980.7784	3259.9169	100.0	70.308	5.146	0.8866	0.0	0.0
57420000	-4.347070074820592e-06	0.03580063662372024	-0.0838938454292395	-0.0062385944348617	-0.0023536753896116	0.0209353450131762	0.0414149410129832	0.0838938454292395	1.0	ibitirama	-20.5406	-41.6656	337.0	338.0899	high	3.98153	2.75481	2.66876	0.6919	1.04116	0.0		24.85	1.30105	djf	263.6	5.65059	jja	3.27959	0.8237	1.31586	2.65584	0.56786	137.85	0.5837	11.4968	12.65	2.50495	32.25	9.08451	0.0	750.0	1205.8041	138.8645	338.0899	10.4419	21.3046	61.2572	6.97	0.0	0.0	0.0	0.0263	0.0	forest	61.2572	metamorphics	97.65	acid_plutonic_rocks	2.35	0.0	0.01	-13.0	41.3141	19.8255	38.8628	22.1606	2266.1486	3111.3737	100.0	98.015	1.8865	0.1576	0.0	0.0
57450000	-3.50452960450131e-06	0.03364826759311361	-0.0249372237479122	-0.0229235364830223	-0.0175821291890852	0.01822564224802	0.075383271775418	0.075383271775418	2.0	rive	-20.7469	-41.4661	2180.0	2214.354	high	3.79078	2.75528	2.65522	0.72684	0.97144	0.0	0.0	23.45	1.29917	djf	249.0	5.14463	jja	1.76969	0.46684	1.15166	1.92298	0.66352	148.55	0.4783	5.1745	3.9	1.90244	1.4	3.5	0.0	115.0	794.6282	106.1028	2214.354	26.8854	29.85	39.9029	3.3537	0.004	0.0	0.0	0.004	0.0	forest	39.9029	metamorphics	68.57	acid_plutonic_rocks	30.0	0.0	0.01	-13.6074	42.6347	16.3034	41.0193	15.3952	2033.7405	3197.0881	100.0	98.289	4.3815	0.6783	3.0	0.2097
57490000	-3.5103977983218392e-06	0.035747104354943354	-0.0668090651974732	-0.0058889084964932	0.0047944900827934	0.0220813964203048	0.0414646434431397	0.0668090651974732	2.0	castelo	-20.6061	-41.1997	972.0	958.436	high	3.6983	2.81656	2.80561	0.76158	0.87817	0.0	0.0	23.55	1.3011	djf	257.2	5.28674	jja	1.36701	0.36963	2.37173	2.19659	0.65371	150.05	0.3009	4.21062	3.3	1.26923	13.25	5.09615	0.0	116.0	781.1736	120.3033	958.436	21.8654	21.0116	54.0046	3.1183	0.0	0.0	0.0	0.0	0.0	forest	54.0046	acid_plutonic_rocks	70.84	metamorphics	24.04	0.0	0.01	-13.8268	42.5864	16.6789	40.7004	15.1694	1889.1451	3588.6795	100.0	97.823	16.1497	3.2367	0.0	0.0
57550000	-5.52599150103449e-06	0.048218197563826094	-0.0431264324356238	-0.027408231674521	-0.0115217061636536	0.0075832412170142	0.1153424119552559	0.1153424119552559	1.0	usina_sao_miguel	-20.7025	-41.1736	1420.0	1429.054	high	3.74407	2.7981	2.75934	0.74734	0.821	0.0	0.0	23.05	1.26301	djf	252.6	5.11336	jja	1.44169	0.38506	2.03373	1.83469	0.67785	152.0	0.3774	4.1702	1.8	1.09091	3.0	4.0	0.0	72.0	726.5136	119.0023	1429.054	23.7841	16.93	57.0221	2.264	0.0	0.0	0.0	0.0	0.0	forest	57.0221	acid_plutonic_rocks	61.08	metamorphics	33.39	0.0	0.0139	-13.6	43.1636	16.6829	40.1148	15.0096	1860.583	3578.2257	100.0	85.736	16.1684	3.0726	0.0	0.0
57580000	-5.844262103488631e-06	0.04282836840874099	-0.1022607972629713	-0.0049711633057865	0.005481150617651	0.0159165868999871	0.0427912283132143	0.1022607972629713	1.0	usina_paineiras	-20.9525	-40.9528	5170.0	5149.565	high	3.71223	2.78682	2.65712	0.75071	0.86179	0.0	0.0	22.45	1.31672	djf	241.5	4.85915	jja	1.47442	0.39718	1.6492	2.2556	0.68877	149.2	0.36768	4.3602	1.15	2.3	3.95	5.26667	0.0	17.0	621.8125	107.2886	5149.565	31.6886	24.2734	41.1094	2.9027	0.0206	0.0017	0.0	0.0034	0.0	forest	41.1094	metamorphics	56.88	acid_plutonic_rocks	38.39	0.0	0.013	-13.6493	43.6047	16.3496	40.0008	14.553	2038.0767	3154.2011	100.0	98.85	11.167	2.075	3.0	0.1083
57700000	-3.4382693127551543e-06	0.05969323003480532	-0.1406141026079099	-0.0066437388587318	2.884767511680125e-05	0.0262464058894961	0.0749312968116777	0.1406141026079099	1.0	caiana	-20.6947	-41.9214	406.0	447.2659	medium	3.78492	2.73487	2.65161	0.72257	1.02349	0.0	0.0	23.55	1.31198	djf	261.55	5.61869	jja	1.4904	0.39377	2.07296	1.80544	0.69998	151.4	0.4628	4.5042	3.45	2.76	0.45	9.0	1e-05	752.0	1071.2909	116.2463	447.2659	8.8801	26.5411	56.1348	8.444	0.0	0.0	0.0	0.0	0.0	forest	56.1348	metamorphics	83.4	acid_plutonic_rocks	16.6	0.0	0.01	-13.0	40.3272	18.2553	41.3812	17.9557	2326.8467	3251.1013	100.0	97.331	1.9093	0.351	0.0	0.0
57720000	-4.240396561876192e-06	0.0361670700505048	-0.0277200910463966	-0.0231104448596086	-0.0138452158220781	0.0144300661610006	0.0852528618465055	0.0852528618465055	2.0	dores_do_rio_preto	-20.6864	-41.8467	222.0	218.8426	high	3.81375	2.74864	2.64276	0.72072	1.01377	0.0		24.65	1.31117	djf	265.1	5.67059	jja	2.2418	0.58782	1.98637	2.34952	0.60637	145.35	0.4967	6.8826	6.45	2.26316	11.95	5.975	0.0	789.0	1110.5132	126.9763	218.8426	9.7194	31.6795	51.769	6.832	0.0	0.0	0.0	0.0	0.0	forest	51.769	metamorphics	79.29	acid_plutonic_rocks	20.71	0.0	0.01	-13.0	41.5046	18.5601	39.9321	18.4592	2186.7783	2879.0634	100.0	99.37	2.6256	0.3209	0.0	0.0
57740000	-3.5119511698557203e-06	0.05336246933485551	-0.0908081105890712	-0.0126054664900877	0.0107982961884363	0.0419412563899949	0.063653319980569	0.0908081105890712	1.0	guacui	-20.7722	-41.6811	408.0	399.4926	high	3.93274	2.7755	2.6575	0.70574	0.98782	0.0	0.0	23.85	1.30328	djf	258.35	5.28864	jja	2.43022	0.61795	1.19122	1.59738	0.65332	147.35	0.7503	7.5289	2.65	1.89286	3.2	4.26667	0.0	596.0	841.5665	74.8987	399.4926	23.1623	35.0211	40.2399	1.5767	0.0	0.0	0.0	0.0	0.0	forest	40.2399	metamorphics	96.0	acid_plutonic_rocks	4.0	0.0	0.01	-13.2166	41.477	17.6824	40.8191	16.0289	2167.041	3308.9016	100.0	99.124	2.4147	0.2722	0.0	0.0
57770000	-6.652961565844433e-06	0.10711191795274111	-0.050266099469945	-0.0466486038932322	-0.0419315177171255	-0.035962028626742	0.2784562626439046	0.2784562626439046	1.0	sao_jose_do_calcado	-21.0286	-41.6519	153.0	156.1366	high	3.71947	2.79996	2.69668	0.75278	0.92391	0.0	0.0	24.75	1.28571	djf	268.05	5.81453	jja	1.22357	0.32896	1.85716	1.87555	0.63037	155.0	0.3077	3.5443	6.2	1.56962	10.9	9.08333	0.0	307.0	586.1098	98.8791	156.1366	22.7144	8.5179	67.7456	1.0221	0.0	0.0	0.0	0.0	0.0	forest	67.7456	metamorphics	94.77	acid_plutonic_rocks	5.23	0.0	0.01	-13.1072	43.2598	15.819	40.8736	12.9362	2176.1874	3614.468	100.0	97.262	4.0936	0.9166	0.0	0.0
