	mean	std	min	25%	50%	75%	max	dif_max_abs	digit_dif_max_abs	gauge_name	gauge_lat	gauge_lon	area_ana	area_gsim	area_gsim_quality	p_mean	pet_mean	et_mean	aridity	p_seasonality	asynchronicity	frac_snow	high_prec_freq	high_prec_dur	high_prec_timing	low_prec_freq	low_prec_dur	low_prec_timing	q_mean	runoff_ratio	stream_elas	slope_fdc	baseflow_index	hfd_mean	Q5	Q95	high_q_freq	high_q_dur	low_q_freq	low_q_dur	zero_q_freq	elev_gauge	elev_mean	slope_mean	area	crop_perc	crop_mosaic_perc	forest_perc	shrub_perc	grass_perc	barren_perc	imperv_perc	wet_perc	snow_perc	dom_land_cover	dom_land_cover_perc	geol_class_1st	geol_class_1st_perc	geol_class_2nd	geol_class_2nd_perc	carb_rocks_perc	geol_porosity	geol_permeability	sand_perc	silt_perc	clay_perc	org_carbon_content	bedrock_depth	water_table_depth	q_quality_control_perc	q_stream_stage_perc	consumptive_use	consumptive_use_perc	reservoirs_vol	regulation_degree
58420000	-1.0139725416244109e-05	0.06995894277149857	-0.0814088953964	-0.0545362307658473	-0.0054392152557272	0.0357246449189265	0.1334470986963035	0.1334470986963035	1.0	fazenda_sobradinho	-22.1994	-42.8969	719.0	701.9933	high	4.83806	2.74003	3.23326	0.56635	0.9499	0.0	0.0	22.85	1.23848	djf	250.35	5.13012	jja	1.91749	0.39633	1.1687	1.30633	0.7148	157.8	0.7636	4.5605	2.2	1.33333	0.0	0.0	0.0	766.0	1045.2612	131.3853	701.9933	2.3559	11.5915	76.8922	9.1479	0.0125	0.0	0.0	0.0	0.0	forest	76.8922	acid_plutonic_rocks	97.74	metamorphics	2.26	0.0	0.01	-13.6823	40.101	18.5588	41.3233	19.7356	1830.3011	3658.5432	100.0	96.03	31.1996	4.4578	0.0	0.0
58425000	-1.013972541626743e-05	0.060966411945588	-0.059768198808385	-0.0484274588601819	-0.0030669845530348	0.0121910401931119	0.139105065478563	0.139105065478563	1.0	moreli_(parada_moreli)	-22.1925	-43.0075	930.0	908.3255	high	4.66533	2.74003	3.23326	0.58732	0.95861	0.0	0.0	22.8	1.2459	djf	248.9	5.14256	jja	1.77138	0.37969	1.52481	1.6263	0.71338	157.25	0.652	4.3114	1.3	1.36842	0.0	0.0	0.0	562.0	1003.7981	127.8721	908.3255	2.4374	13.8891	74.1561	9.5077	0.0097	0.0	0.0	0.0	0.0	forest	74.1561	acid_plutonic_rocks	92.62	metamorphics	7.38	0.0	0.01	-13.5273	39.8968	18.1908	41.8903	19.0474	1855.4332	3589.967	100.0	94.031	29.616	4.5806	0.0	0.0
58434000	-1.063773203554799e-05	0.10016488805639348	-0.1568461756544073	-0.0363128862578169	-0.027023381301269	0.0071589194955337	0.2036119482205275	0.2036119482205275	2.0	fagundes	-22.2997	-43.1781	275.0	269.6071	high	4.30853	2.83094	2.92247	0.65705	0.94093	0.0	0.0	24.05	1.26913	djf	263.45	5.62927	jja	1.22043	0.2863	0.50548	1.05242	0.75525	163.55556	0.5592	2.6807	1.22464	1.2	0.0	0.0	0.0	520.0	870.2874	119.4011	269.6071	5.9092	32.7457	53.9667	7.3784	0.0	0.0	0.0	0.0	0.0	forest	53.9667	acid_plutonic_rocks	51.85	metamorphics	48.15	0.0	0.01	-14.0914	40.3611	16.7674	42.8252	16.9256	1957.3997	2965.7818	97.988	87.639	8.0357	1.8039	0.0	0.0
58440000	-1.013972541626649e-05	0.01424536940638024	-0.0217138093212523	-0.0114622121529712	0.0016051668585619	0.0133164194420742	0.01564080883992	0.0217138093212523	4.0	uhe_simplicio_moura_brasil	-22.1403	-43.1542		2010.287	high	4.55294	2.7858	3.13674	0.61187	0.93353	0.0	0.0	22.9	1.24457	djf	242.4	4.91684	jja	1.52239	0.33437	2.12593	2.06898	0.62855	156.35	0.3339	4.51732	3.7	1.57447	11.05	2.30208	0.0	282.0	935.5346	129.5654	2010.287	3.2004	19.3337	67.3443	10.1172	0.0044	0.0	0.0	0.0	0.0	forest	67.3443	acid_plutonic_rocks	81.98	metamorphics	18.02	0.0	0.01	-13.6298	40.5382	17.6368	41.7995	18.2602	1864.9599	3521.0415	100.0	75.496	17.6993	3.1852	30.0	2.6856
15910000	-1.0159194579066147e-05	0.02388905498356791	-0.0541199689395616	-0.01383972410871	0.0107063351678601	0.0172803064804906	0.0178797042825177	0.0541199689395616	2.0	santarem_sucunduri	-6.7956	-59.0422	12700.0	12688.68	high	6.24857	3.119	3.87893	0.49915	-0.48013	0.2265	0.0	4.95	1.0	djf	122.7	2.93541	jja	2.91953	0.46561	1.31683	5.32531	0.71906	200.88889	0.2152	8.78417	0.0	0.0	112.05787	38.87719	0.0	43.0	169.063	24.8697	12688.68	0.0	0.0326	99.8581	0.0104	0.0	0.0	0.0	0.0988	0.0	forest	99.8581	siliciclastic_sedimentary_rocks	81.16	intermediate_volcanic_rocks	10.43	0.0	0.2062	-13.4994	40.9999	20.285	38.7202	12.3441	2263.572	891.8287	84.216	61.944	0.0516	0.0048	0.0	0.0
58470000	-1.0170353419813794e-05	0.0677313044747884	-0.1417663162639192	-0.0431080729927393	0.0251952501498382	0.0363787624044643	0.0669662538476476	0.1417663162639192	2.0	chapeu_d'uvas	-21.5939	-43.5047	360.0	385.3622	medium	4.2336	2.67121	2.71772	0.63095	1.07509	0.0094	0.0	22.45	1.23014	djf	254.6	5.75367	jja	1.58259	0.37382	0.76138	1.63321	0.83676	184.45	0.5522	2.9167	0.0	0.0	5.85	3.9	0.0	718.0	872.2345	55.1333	385.3622	3.51	44.5745	45.2397	5.2764	0.4129	0.0	0.0	0.9865	0.0	forest	45.2397	metamorphics	99.09	basic_plutonic_rocks	0.91	0.0	0.01	-13.0	39.9568	17.4237	42.6064	15.2739	2109.0581	2724.8393	100.0	96.892	2.8057	0.4857	153.0	68.7324
58480500	-1.0139725416240542e-05	0.11147422146593833	-0.0648786204181678	-0.0565434313535553	-0.0491399666893129	-0.002136391820029	0.2831094458399428	0.2831094458399428	1.0	juiz_de_fora_-_jusante	-21.7783	-43.3253	969.0	983.408	high	4.16346	2.7014	2.71692	0.64883	1.06702	0.0094	0.0	21.75	1.23229	djf	244.7	5.43778	jja	1.75687	0.42197	0.40634	0.92017	0.78422	165.8	0.8456	3.6787	0.3	1.2	0.0	0.0	0.0	692.0	817.7989	44.8565	983.408	4.9874	44.3937	36.8048	11.7779	0.287	0.0	1.0854	0.6638	0.0	crop_mosaic	44.3937	metamorphics	97.08	acid_plutonic_rocks	2.56	0.0	0.01	-13.0	40.2928	16.909	42.7718	14.667	2146.5548	2256.7648	100.0	98.357	6.7866	1.0583	153.0	24.2619
58500000	-1.0141576406635162e-05	0.07886530768173639	-0.0490570488493061	-0.0432116681209848	-0.038364281360237	0.0175169192684759	0.1952121363440997	0.1952121363440997	2.0	usina_brumado	-21.8547	-43.885	144.0	152.0837	medium	4.447	2.63861	2.7437	0.59335	1.05734	0.01165	0.0	23.55	1.23947	djf	261.7	5.70774	jja	1.68789	0.37956	0.68058	0.93627	0.74752	167.85	0.8135	3.516	2.1	1.55556	0.0	0.0	0.0	752.0	1034.4237	90.4214	152.0837	0.9292	34.5529	37.5725	26.9454	0.0	0.0	0.0	0.0	0.0	forest	37.5725	metamorphics	100.0		0.0	0.0	0.01	-14.1	40.3826	18.2955	41.3431	17.426	2104.6396	2587.2614	100.0	98.645	1.3681	0.2221	0.0	0.0
58516500	-1.01675614121116e-05	0.07854519936388867	-0.1641339488118583	-0.0232465095943501	-0.0067344909483291	0.0268088742540225	0.1190222109296774	0.1641339488118583	1.0	fazenda_santo_antonio	-21.8592	-43.4439	2240.0	2244.641	high	4.29102	2.61983	2.73824	0.61054	1.04945	0.0	0.0	20.7	1.24699	djf	236.05	5.22813	jja	1.6857	0.39284	1.8286	1.41603	0.7674	169.95	0.6856	4.0035	0.2	1.0	0.0	0.0	0.0	523.0	896.1702	78.4742	2244.641	2.2125	40.5085	49.237	8.0107	0.0	0.0	0.0	0.0314	0.0	forest	49.237	metamorphics	93.11	acid_plutonic_rocks	6.89	0.0	0.01	-13.3774	40.3025	17.4711	42.2087	16.5063	2091.5759	2779.7045	100.0	99.63	3.2005	0.5202	38.0	2.7515
58520000	-1.0139725416274983e-05	0.08093261347986466	-0.1459834543243207	0.000966364157339	0.0172955142378635	0.051140452566868	0.0937269645425915	0.1459834543243207	1.0	sobraji	-21.9667	-43.3744	3640.0	3665.553	high	4.21146	2.64329	2.71719	0.62764	1.04874	0.0	0.0	20.15	1.24768	djf	232.4	5.17595	jja	1.61431	0.38331	1.48923	1.21868	0.77698	167.85	0.7186	3.6856	0.0	0.0	0.0	0.0	0.0	462.0	846.5596	68.2322	3665.553	4.3088	42.7014	43.46	8.944	0.0792	0.0	0.3097	0.1968	0.0	forest	43.46	metamorphics	92.47	acid_plutonic_rocks	7.43	0.0	0.01	-13.2309	40.4146	17.1692	42.3914	15.5337	2104.0203	2613.0763	100.0	94.839	4.5413	0.7707	192.0	8.8896
58525000	-1.0148060198266843e-05	0.015676925664085285	-0.0133407372751128	-0.0094071389303893	-0.0042885617842218	-0.0021877639472729	0.0353435751757554	0.0353435751757554	2.0	visconde_de_maua	-22.33	-44.5389	103.0	90.111	high																																																												
58530000	-1.0139725416266467e-05	0.03512882222637081	-0.0683161176065117	-0.0041440574524437	0.0111812598118734	0.02211461086057	0.0360522063750426	0.0683161176065117	2.0	ponte_do_souza	-22.2708	-44.39	284.0	283.1068	high	5.2462	2.51317	2.92869	0.47905	1.05721	0.0281	0.0	22.75	1.17876	djf	251.55	5.19195	jja	3.67272	0.70007	1.78604	2.00898	0.75749	173.45	1.193	8.8336	0.6	1.71429	0.2	2.0	0.0	928.0	1354.1194	150.2085	283.1068	1.9529	20.6448	74.5195	2.8828	0.0	0.0	0.0	0.0	0.0	forest	74.5195	metamorphics	64.47	acid_plutonic_rocks	28.36	0.0	0.01	-13.6567	42.6586	20.0408	37.3059	24.1163	1658.0434	2629.6181	100.0	96.55	2.094	0.1562	0.0	0.0
58535000	-1.0139725416232928e-05	0.02582783460247375	-0.0375140240695155	-0.0159397786265626	-0.0004200511746905	0.0157441362491795	0.0433759178238815	0.0433759178238815	1.0	zelinda	-22.2442	-44.265	418.0	418.6062	high	5.16509	2.52467	2.89954	0.48879	1.05582	0.0281	0.0	22.3	1.18617	djf	244.95	5.12984	jja	3.6073	0.6984	2.13066	2.02542	0.73475	171.0	1.0316	8.99174	0.55	1.22222	0.35	3.5	0.0	574.0	1237.6122	148.5332	418.6062	2.5878	20.9131	73.7429	2.7562	0.0	0.0	0.0	0.0	0.0	forest	73.7429	metamorphics	71.38	acid_plutonic_rocks	23.77	0.0	0.01	-13.634	42.7471	19.0799	38.1686	21.7759	1683.111	2822.7379	100.0	91.198	1.957	0.1486	0.0	0.0
58542000	-1.014991423327743e-05	0.019986813281797966	-0.0361442416079787	0.0017926954842785	0.0043878082368244	0.0117925231417091	0.0235866355637754	0.0361442416079787	2.0	santa_rita_do_jacutinga	-22.1519	-44.0906	355.0	342.306	high	4.81439	2.57065	2.78296	0.53395	1.02317	0.0183	0.0	22.2	1.21644	djf	243.9	5.08655	jja	3.25812	0.67675	1.7077	2.54123	0.72478	164.0	0.7994	8.1355	0.6	1.33333	3.9	4.58824	0.0	555.0	1004.2092	119.827	342.306	1.5408	16.564	79.4042	2.4397	0.0	0.0	0.0	0.0514	0.0	forest	79.4042	metamorphics	92.02	acid_plutonic_rocks	7.98	0.0	0.01	-13.3052	42.5754	17.4323	39.9804	17.5855	1825.8699	2919.208	100.0	90.171	1.1595	0.0975	0.0	0.0
58550001	-1.0139725416255288e-05	0.06281343498544296	-0.1472610597267664	-0.0108166947415955	0.0117172001485435	0.0259226206842232	0.082350062353335	0.1472610597267664	1.0	rio_preto	-22.0861	-43.82	1800.0	1776.083	high	4.6368	2.60195	2.76473	0.56115	1.01747	0.0183	0.0	20.0	1.17994	djf	230.3	4.98485	jja	2.52119	0.54373	2.05607	1.74055	0.76309	173.05	0.9312	6.08398	0.35	1.16667	0.0	0.0	0.0	443.0	894.9128	111.2653	1776.083	2.872	30.2332	63.755	3.13	0.0	0.0	0.0	0.0099	0.0	forest	63.755	metamorphics	89.22	acid_plutonic_rocks	9.66	0.0	0.01	-13.2293	43.5166	17.0923	39.346	17.0146	1864.3998	3232.9281	100.0	95.907	2.1079	0.2291	0.0	0.0
16700000	-1.1278025894355412e-05	0.0044559308947560786	-0.0063746241376138	-0.0020395489302883	-0.0011506964701755	0.0037802021766775	0.0072217738310422	0.0072217738310422	2.0	tirios	2.2239	-55.9564	819.0	698.6976	low																																																												
58560000	-1.1392506009554203e-05	0.08056401885050864	-0.043397384671638	-0.0396731302437578	-0.0356067677061688	-0.0319417100523684	0.1914338616107035	0.1914338616107035	1.0	valenca	-22.2244	-43.7103	173.0	174.0333	high	4.02827	2.65698	2.73847	0.65958	1.0228	0.0	0.0	23.55	1.22656	djf	259.65	5.66921	jja	1.47638	0.3665	2.18914	1.65804	0.63211	161.9	0.3932	4.6348	4.4	1.41935	5.05	6.3125	0.0	527.0	677.5648	62.2516	174.0333	7.5051	51.7241	36.1562	4.5132	0.0	0.0	0.0	0.1014	0.0	crop_mosaic	51.7241	metamorphics	67.67	acid_plutonic_rocks	32.33	0.0	0.01	-13.9787	42.8351	15.1623	41.9428	13.7221	1895.4596	2543.4964	100.0	93.046	3.3828	0.6278	0.0	0.0
58573000	-1.018527006244746e-05	0.07273602878308381	-0.1464787077365818	-0.0300823599345866	-0.0113963267100888	0.0531495708218087	0.0868130279897383	0.1464787077365818	1.0	pentagna	-22.1569	-43.7525	256.0	266.3103	high	4.13569	2.62847	2.72632	0.63556	1.02958	0.00915	0.0	23.15	1.21522	djf	255.65	5.5216	jja	1.45553	0.35194	1.8141	1.3062	0.72773	168.3	0.5227	3.3274	1.0	1.25	0.95	6.33333	0.0	492.0	647.7897	73.5186	266.3103	11.4836	64.6864	21.5732	2.2569	0.0	0.0	0.0	0.0	0.0	crop_mosaic	64.6864	metamorphics	68.87	acid_plutonic_rocks	31.13	0.0	0.01	-13.3618	44.5272	14.7896	40.5951	13.2603	1996.3875	2833.6043	100.0	96.4	3.0882	0.5813	0.0	0.0
58585000	-1.01397254162639e-05	0.05146641072706029	-0.0945142081115082	-0.0004937563025989	0.0142840157892415	0.0262211996541455	0.0529221869178909	0.0945142081115082	1.0	manuel_duarte	-22.0844	-43.5589	3110.0	3103.394	high	4.41155	2.62631	2.72264	0.59533	1.02203	0.00915	0.0	19.55	1.18127	djf	227.6	4.89989	jja	2.14621	0.4865	2.07146	1.72157	0.75119	172.0	0.7593	5.3532	0.6	1.33333	0.3	2.0	0.0	395.0	798.9919	96.6264	3103.394	5.4544	42.129	48.8853	3.5058	0.0	0.0	0.0	0.0255	0.0	forest	48.8853	metamorphics	81.94	acid_plutonic_rocks	17.42	0.0	0.01	-13.2671	43.6164	16.507	39.8268	15.7359	1915.8033	3164.3946	100.0	92.95	2.2136	0.2826	12.0	0.4936
