	pearson	kendall	spearman
mean	0.39581572715193175	-0.024656973637841466	-0.03886413074233507
std	0.9599665642084222	0.8816298536193496	0.9801279438330832
min	-0.5706416028162811	-0.5801455848973669	-0.7485665828481884
25%	-0.7467439800681004	-0.5422146941466687	-0.7201084522580083
50%	-0.5787977326376547	-0.28038165827336764	-0.3905549558606955
75%	0.13141542361608705	0.1071803441442056	0.10070450369937678
max	0.9681311921173473	0.8135134008586553	0.936416465865009
dif_max_abs	1.0	1.0	1.0
digit_dif_max_abs	-0.24950322393076457	-0.2603626709392914	-0.3240431170970307
gauge_lat	0.18477200212961015	0.15889382132469884	0.23328625778887535
gauge_lon	0.08409450861571997	0.126029276355557	0.1883752170167965
area_ana	0.13056309141567302	-0.02090138246422136	-0.02259511432981429
area_gsim	0.12605221920900128	-0.025414897913002003	-0.03023005877060913
p_mean	-0.12252669502470853	-0.14581617299814395	-0.2160032305224466
pet_mean	0.274715339354086	0.19212837137751346	0.2834942112053534
et_mean	-0.009383793296772986	0.03188428086698664	0.042750574446499254
aridity	0.1522599429468358	0.1662607664244854	0.2465075455532194
p_seasonality	0.12978965323081104	0.15288390520937006	0.22724759742483464
asynchronicity	0.173451759750951	0.07356413558886508	0.11708581584792857
frac_snow			
high_prec_freq	-0.11407592099541737	-0.10564120392019485	-0.15824753406590772
high_prec_dur	-0.06110884309655812	0.023561331136797103	0.03601338463352547
low_prec_freq	-0.04024894683846423	-0.02070270638420693	-0.03410551038037234
low_prec_dur	0.21934476160309338	0.19820433266820903	0.29203052364553805
q_mean	-0.15960817496832877	-0.12890879188211493	-0.19450234180885762
runoff_ratio	-0.17466283920843392	-0.119800332794959	-0.18054777374463238
stream_elas	-0.37417484617297714	-0.27072293457479646	-0.3910826359440998
slope_fdc	-0.3593312764089006	-0.4985692390604603	-0.66281280761711
baseflow_index	0.4721280253112789	0.4492157758560861	0.6144230433772566
hfd_mean	0.09231891384656003	0.08418769094307023	0.1234901592395215
Q5	0.27838604767824193	0.24501848310474064	0.3462741741320221
Q95	-0.3361183498286272	-0.24324910560179108	-0.3522077962250457
high_q_freq	-0.1790928092055883	-0.3454438901168907	-0.4794384469274119
high_q_dur	-0.13723522424325965	-0.297817963445385	-0.4268379388011907
low_q_freq	-0.23341453552182073	-0.4521778129769612	-0.608552546249524
low_q_dur	-0.2292645764674248	-0.3883224357375906	-0.5389113567130838
zero_q_freq	-5.384844065838076e-05	0.016220244289325503	0.020415799973339983
elev_gauge	0.1418146513829522	0.06992385762844558	0.10169707378791733
elev_mean	0.06542289870406773	0.04300791846506979	0.06340292408027184
slope_mean	-0.11983909908337746	-0.07466550982837558	-0.11733914464319997
area	0.13965019673984802	-0.04027324744928778	-0.05168835914565425
crop_perc	-0.0445590201375616	-0.033563162910773325	-0.05247040041879185
crop_mosaic_perc	-0.03887096578769156	-0.04970731332300967	-0.07461346869723409
forest_perc	-0.08311921875631503	-0.04443565835282747	-0.06769006480922518
shrub_perc	0.2238757036912507	0.16124674640044806	0.24143695076149002
grass_perc	0.17791935881728121	0.08669493827213351	0.11793289225169315
barren_perc	0.2392087082801177	0.1440727732868744	0.19191574442538262
imperv_perc	0.016942227247054707	0.09223466485988707	0.11779002142813713
wet_perc	0.06928477885818748	0.017362570174972797	0.024179765902349732
snow_perc	0.0015293259731238692	-0.02952442601984232	-0.03691392358068966
dom_land_cover_perc	-0.030135346484743156	-0.029587163520147605	-0.04622478979411954
geol_class_1st_perc	0.026271703688697263	-0.019050478746418145	-0.028375323915080047
geol_class_2nd_perc	-0.030275491629647714	0.01756068357490167	0.02744801102810847
carb_rocks_perc	0.033172697350312544	0.00664643363965609	0.009194164035235526
geol_porosity	0.11832148823592781	-0.021979065153805096	-0.018374822893851648
geol_permeability	0.17117161086261987	-0.034423615061131944	-0.04652160187125162
sand_perc	0.3669897359691824	0.23851074929658642	0.34955367515641866
silt_perc	-0.3688668791392579	-0.29090280085005493	-0.4199984209541535
clay_perc	-0.3025309535738493	-0.19883529053288604	-0.2961293131535867
org_carbon_content	-0.11588653760462488	-0.09346204957552194	-0.132675683483954
bedrock_depth	0.31126242285682704	0.20538587416120282	0.29552935884313314
water_table_depth	-0.09098414583005844	-0.027511449375638364	-0.04258925393828842
q_quality_control_perc	-0.13187043895117928	-0.035635823540688054	-0.04857197561019643
q_stream_stage_perc	0.15629060368473574	0.13002467891588132	0.19272667857600045
consumptive_use	0.008484532916293967	0.00827587723203111	0.01025296619594452
consumptive_use_perc	0.04025103215782148	0.07369698576248301	0.10730599376507531
reservoirs_vol	0.03883247045504297	-0.03207994511941183	-0.04621433633370873
regulation_degree	0.028465059720542734	-0.04391010937507053	-0.0623661948558943
