	mean	std	min	25%	50%	75%	max	dif_max_abs	digit_dif_max_abs	gauge_name	gauge_lat	gauge_lon	area_ana	area_gsim	area_gsim_quality	p_mean	pet_mean	et_mean	aridity	p_seasonality	asynchronicity	frac_snow	high_prec_freq	high_prec_dur	high_prec_timing	low_prec_freq	low_prec_dur	low_prec_timing	q_mean	runoff_ratio	stream_elas	slope_fdc	baseflow_index	hfd_mean	Q5	Q95	high_q_freq	high_q_dur	low_q_freq	low_q_dur	zero_q_freq	elev_gauge	elev_mean	slope_mean	area	crop_perc	crop_mosaic_perc	forest_perc	shrub_perc	grass_perc	barren_perc	imperv_perc	wet_perc	snow_perc	dom_land_cover	dom_land_cover_perc	geol_class_1st	geol_class_1st_perc	geol_class_2nd	geol_class_2nd_perc	carb_rocks_perc	geol_porosity	geol_permeability	sand_perc	silt_perc	clay_perc	org_carbon_content	bedrock_depth	water_table_depth	q_quality_control_perc	q_stream_stage_perc	consumptive_use	consumptive_use_perc	reservoirs_vol	regulation_degree
49660000	-2.1297893638321697e-05	0.029239105073046015	-0.0269634078001703	-0.0108384104624481	-0.0091633867903969	-0.002541959268336	0.0750482102014586	0.0750482102014586	1.0	traipu	-9.9714	-37.0028	630000.0																																																														
49705000	-2.120441051739937e-05	0.029979186746102934	-0.0266637781396507	-0.0115971852171637	-0.0085265228678419	-0.0033971713100025	0.077214279145179	0.077214279145179	1.0	propria	-10.2139	-36.8239	631000.0	638461.7	high	2.54227	3.27429	1.9971	1.28794	1.11538	0.17762	0.0	12.0	1.64384	djf	205.05	7.75236	jja	0.27543	0.10754	0.70824	0.51216	0.88971	175.0	0.17163	0.413	0.0	0.0	0.0	0.0	0.0	13.0	637.9287	28.1908	638461.7	9.5509	47.7716	11.4136	29.7294	0.2749	0.3145	0.0635	0.8818	0.0	crop_mosaic	47.7716	siliciclastic_sedimentary_rocks	26.24	unconsolidated_sediments	24.24	5.16	0.1393	-12.9714	51.1091	17.3351	31.5523	9.2162	2964.49	1324.3153	88.378	91.116	10.5119	10.4563	77149.0	120.1964
50191000	-2.4302517740846688e-05	0.04932497326659311	-0.0286971231066069	-0.025999416585614	-0.021875909214729	-0.0033289378331468	0.1250417453683897	0.1250417453683897	1.0	fazenda_belem	-10.9431	-37.3469	15900.0	15805.63	high	1.66023	3.18108	1.32801	1.91604	0.02104	0.19465	0.0	20.45	1.3771	mam	263.55	5.11251	son	0.0791	0.04763	2.02401	3.30536	0.36465	226.94737	0.0022	0.31052	30.49611	4.856	154.94237	15.97927	0.00013	16.0	396.7745	25.9404	15805.63	21.4115	38.0544	8.2802	31.0436	0.2584	0.8058	0.0	0.1463	0.0	crop_mosaic	38.0544	metamorphics	44.27	mixed_sedimentary_rocks	35.39	2.6	0.1244	-13.7846	53.3901	17.8677	28.7519	6.9262	1911.1137	3890.4041	99.521	91.075	3.8484	13.3292	310.0	67.9324
50250000	-2.2629554197766088e-05	0.03615472056430269	-0.0255945577704511	-0.0178697473850186	-0.0129753028689023	-0.0034273246170177	0.0893977029103568	0.0893977029103568	1.0	fazenda_tourao	-11.1931	-37.975	2940.0	2928.947	high	1.71545	3.1338	1.67854	1.82681	-0.19531	0.2166	0.0	24.15	1.32329	jja	275.7	5.32754	son	0.06657	0.0387	-1.03592	5.99688	0.19322	227.33333	0.0	0.26112	70.9773	7.27461	247.81391	26.6413	0.0009	149.0	297.532	28.2584	2928.947	39.6833	47.8997	3.3324	8.544	0.1654	0.3371	0.0	0.0382	0.0	crop_mosaic	47.8997	siliciclastic_sedimentary_rocks	63.55	mixed_sedimentary_rocks	31.74	0.0	0.2069	-14.3529	51.9724	18.738	29.2689	7.037	1983.6644	3490.7072	98.905	93.443	2.4125	9.9288	4.0	5.6205
50290000	-2.1558228775933994e-05	0.02990718528644896	-0.0226686275416608	-0.0187990870630573	-0.0106798125254521	0.0011769017308541	0.0685858366992318	0.0685858366992318	1.0	itanhy	-11.5397	-37.5681	4480.0	4462.4	high	2.06071	3.16276	1.77906	1.53479	-0.27196	0.2166	0.0	22.3	1.30029	jja	261.55	4.90713	son	0.18437	0.08919	1.15802	2.64757	0.47302	242.88235	0.0162	0.6169	14.42732	3.65789	89.26257	16.69903	4e-05	13.0	245.2289	25.4355	4462.4	38.3732	50.9628	3.5262	6.7439	0.1188	0.2313	0.0	0.0438	0.0	crop_mosaic	50.9628	siliciclastic_sedimentary_rocks	59.78	mixed_sedimentary_rocks	23.97	0.0	0.1853	-14.1017	52.1644	18.3108	29.5062	7.4567	2432.9682	2305.0501	96.345	88.118	3.0438	4.5229	4.0	1.332
50420000	-3.276647334445434e-05	0.04375970334974901	-0.0271789001743584	-0.024919966189176	-0.0214245627252537	-0.0013763656262887	0.1071091963147861	0.1071091963147861	1.0	jacobina	-11.2114	-40.4703	1290.0	1304.515	high	1.90565	3.16359	1.63875	1.66011	0.65772	0.12827	0.0	21.6	1.48966	djf	288.9	6.82172	son	0.13745	0.07352	3.20476	4.10139	0.35542	214.27778	0.0016	0.4647	26.79121	4.88679	160.43692	17.52542	0.00022	482.0	664.4667	62.5856	1304.515	4.327	31.403	16.0584	48.0685	0.0	0.0286	0.0	0.1142	0.0	shrub	48.0685	metamorphics	66.59	acid_plutonic_rocks	13.99	0.0	0.0489	-13.0068	51.712	16.3205	31.9712	8.9391	2698.3883	3069.2204	97.331	95.168	2.8581	5.697	0.0	0.0
50465000	-3.0483158055153973e-05	0.04903288816849996	-0.0271662683686104	-0.0243583136059426	-0.0212937289008484	-0.0110841412722231	0.1247587560506964	0.1247587560506964	1.0	queimadas	-10.9733	-39.6328	11800.0	11834.96	high	1.78029	3.17322	1.66804	1.78242	0.57573	0.13555	0.0	21.2	1.43243	djf	276.45	6.13651	son	0.08522	0.04787	3.72983	3.33585	0.4408	212.1	0.0	0.3175	29.65	7.80263	138.2	19.19444	0.00053	269.0	509.3716	36.8905	11834.96	19.5302	41.6613	13.095	25.0959	0.33	0.1213	0.0	0.1662	0.0	crop_mosaic	41.6613	metamorphics	56.96	unconsolidated_sediments	20.04	0.0	0.0596	-13.2848	54.6492	16.282	29.0721	7.161	2794.8685	2513.6212	100.0	85.927	3.622	11.6449	73.0	19.831
50520000	-3.0366523944011668e-05	0.04798672774229418	-0.028958268176664	-0.0277197753379367	-0.0165958401990323	-0.0016810159195872	0.1187568313379319	0.1187568313379319	1.0	ponte_euclides_da_cunha	-11.0603	-38.8372	26100.0	26033.82	high																																																												
50540000	-2.9924888529800893e-05	0.047850428246670185	-0.0305208993073392	-0.0270868381089326	-0.0231618547198575	-0.0032042900691133	0.1185767913007372	0.1185767913007372	1.0	cipo	-11.0975	-38.5125	28000.0	27982.18	high	1.53149	3.12548	1.46908	2.04081	0.47612	0.14374	0.0	22.0	1.49153	djf	275.1	6.13378	son	0.04274	0.02857	3.82979	2.89814	0.43533	171.88889	0.0031	0.1322	20.2573	8.02041	116.2862	21.48571	0.0	125.0	423.439	30.3133	27982.18	22.0101	48.6721	7.8292	19.9919	0.2424	1.0938	0.0	0.1605	0.0	crop_mosaic	48.6721	metamorphics	54.14	acid_plutonic_rocks	19.26	0.0	0.0589	-13.567	55.3045	16.8801	27.824	7.0147	2389.8988	3052.5897	97.002	78.932	2.2915	14.6897	332.0	76.0596
50595000	-2.7701598382269236e-05	0.049706369307615676	-0.0307986274342728	-0.0270564879602068	-0.0205923654692155	-0.0025253733572404	0.1243003458967267	0.1243003458967267	1.0	usina_altamira	-11.7347	-37.8033	35200.0	35133.49	high	1.59964	3.12137	1.51889	1.95129	0.33366	0.15525	0.0	21.15	1.47902	djf	266.45	5.49948	son	0.05226	0.03265	2.71187	2.21823	0.52555	193.73684	0.0093	0.1504	13.65796	8.24242	38.51344	8.15957	0.0	35.0	392.7402	29.5987	35133.49	24.3167	47.7963	7.6354	18.9863	0.1947	0.9422	0.0	0.1283	0.0	crop_mosaic	47.7963	metamorphics	44.3	mixed_sedimentary_rocks	19.69	0.0	0.0962	-13.3729	54.7424	17.0527	28.2082	7.1118	2340.0689	3172.1012	99.576	74.647	2.3426	12.2819	332.0	49.5432
15430000	-1.6492669008611764e-05	0.018016787042113423	-0.0153944290530083	-0.0052611035509646	-0.0038020697236169	-0.0026260571157303	0.0463056136576753	0.0463056136576753	1.0	ariquemes	-9.9256	-63.0714	8140.0	8172.572	high																																																												
50620000	-2.4165095935433967e-05	0.03580667309895555	-0.0242816381477607	-0.0178771853442929	-0.0121956001146105	-0.005538997591336	0.0897921008997421	0.0897921008997421	1.0	inhambupe	-11.7822	-38.3467	2890.0	2896.081	high	2.0267	3.08199	1.84318	1.52069	0.03015	0.1537	0.0	23.05	1.32092	djf	266.5	5.07136	son	0.06271	0.0311	1.2451	0.91087	0.57457	190.94737	0.0177	0.1265	6.65742	4.125	1.16	11.5	0.0	157.0	287.834	24.0829	2896.081	38.7127	46.2504	5.5056	9.4735	0.0064	0.0514	0.0	0.0	0.0	crop_mosaic	46.2504	siliciclastic_sedimentary_rocks	42.39	mixed_sedimentary_rocks	39.37	0.0	0.2114	-12.1515	54.3448	17.7672	27.8787	6.9681	2410.6214	2460.0519	99.138	97.851	2.8338	12.3812	0.0	0.0
50660000	-2.208968411752249e-05	0.0374834622302431	-0.0247111705587133	-0.0202271077220644	-0.0127796555903684	0.0050811441074057	0.0945962468807504	0.0945962468807504	1.0	corte_grande	-12.0536	-37.755	4380.0	4393.693	high	2.38611	3.10257	2.02162	1.30027	-0.09528	0.17	0.0	19.8	1.33784	mam	250.15	4.48297	son	0.18844	0.07936	1.27171	2.00114	0.60498	229.05263	0.0358	0.5831	5.98003	4.10714	19.91611	14.18519	0.0	13.0	239.8113	24.0233	4393.693	28.9816	54.2586	7.8449	8.6357	0.0042	0.0338	0.0	0.241	0.0	crop_mosaic	54.2586	siliciclastic_sedimentary_rocks	45.27	mixed_sedimentary_rocks	30.23	0.0	0.1981	-12.2121	53.2332	17.3495	29.4094	7.8717	2787.8223	2083.7494	97.645	93.511	2.5231	3.6683	0.0	0.0
